id,titulo,precio_usd,dormitorios,banos,m2,m2_construidos,zona,latitud,longitud,anio_construccion,antiguedad_anos,es_proyecto,estado,link,imagen
191877419,Penthouse en venta Aquarela 3 plantas ascensor privado 4 dormitorios en suite Punta del Este,2500000.0,4.0,3.0,488.0,488.0,Playa Mansa,-34.927726215,-54.9608575821,,,False,1,https://www.infocasas.com.uy/penthouse-en-venta-aquarela-3-plantas-ascensor-privado-4-dormitorios-en-suite-punta-del-este/191877419,https://cdn1.infocasas.com.uy/web/67875f41db95f_infocdn.jpg
191067730,Departamento en Venta y en Alquiler Temporario en Garden Tower TM3051904,530000.0,3.0,3.0,230.0,170.0,Península,-34.9631006,-54.9428408,,,False,1,https://www.infocasas.com.uy/departamento-en-venta-y-en-alquiler-temporario-en-garden-tower-tm3051904/191067730,https://cdn1.infocasas.com.uy/web/667acdcab6e75_infocdn.jpg
191708655,Venta Departamento 2 dormitorios  Playa Brava Torre Trump Punta del Este,782500.0,2.0,2.0,16257.0,0.0,Punta del Este,-34.9345765,-54.9029916,,,False,1,https://www.infocasas.com.uy/venta-departamento-2-dormitorios-playa-brava-torre-trump-punta-del-este/191708655,https://cdn1.infocasas.com.uy/web/673ed879e8bcc_infocdn.jpg
191566050,"More Atlántico, 1 dorm, amenities de primer nivel.",175000.0,1.0,1.0,42.0,60.0,Roosevelt,0,0,,,False,1,https://www.infocasas.com.uy/more-atlantico-1-dorm-amenities-de-primer-nivel/191566050,https://cdn1.infocasas.com.uy/repo/img/243_NYP-39947-TRA_636.jpg
191078306,Venta de mono ambiente en Las Grutas Punta Ballena Syrah,145000.0,0.0,1.0,32.0,65.0,Playa las Grutas,0,0,2022.0,,False,1,https://www.infocasas.com.uy/venta-de-mono-ambiente-en-las-grutas-punta-ballena-syrah/191078306,https://cdn1.infocasas.com.uy/repo/img/1189_MYT-4780-TRA_927.jpg
191079005,Apartamento en Roosevelt,157164.0,1.0,1.0,44.0,40.0,Roosevelt,-34.9308664,-54.943319,,,False,1,https://www.infocasas.com.uy/apartamento-en-roosevelt/191079005,https://cdn1.infocasas.com.uy/web/667fbbbf325a1_infocdn.jpg
191069186,Punta del Este Venta Departamento Surfside al 1405 TM4490400,993300.0,1.0,1.0,171.0,171.0,Rincón del Indio,-34.919337557,-54.8729606157,,,False,1,https://www.infocasas.com.uy/punta-del-este-venta-departamento-surfside-al-1405-tm4490400/191069186,https://cdn1.infocasas.com.uy/web/68316b4a1f57a_infocdn.jpg
190930227,Venta apartamento 3 dormitorios Punta del Este,370000.0,3.0,3.0,120.0,95.0,Roosevelt,-34.9444823,-54.929404,,,False,1,https://www.infocasas.com.uy/venta-apartamento-3-dormitorios-punta-del-este/190930227,https://cdn1.infocasas.com.uy/web/6617c55dd7579_infocdn.jpg
191000724,Departamento - Playa Brava,900000.0,3.0,3.0,194.0,181.0,Playa Brava,-34.9580129,-54.9376273,,,False,1,https://www.infocasas.com.uy/departamento-playa-brava/191000724,https://cdn1.infocasas.com.uy/web/664781f52ad1b_infocdn.jpg
189692182,"Venta de apartamento en la Peninsula, 1 dormitorio, 2 baños, piscina, servicios.",250000.0,1.0,2.0,70.0,70.0,Península,0,0,,,False,1,https://www.infocasas.com.uy/venta-de-apartamento-en-la-peninsula-1-dormitorio-2-baños-piscina-servicios/189692182,https://cdn1.infocasas.com.uy/repo/img/204201_SNA-168577-TRA_787.jpg
188490472,1 - Complejo Solanas,200000.0,0.0,1.0,54.0,54.0,Punta Ballena,-34.8806198,-55.0480649,,,False,1,https://www.infocasas.com.uy/1-complejo-solanas/188490472,https://cdn1.infocasas.com.uy/web/6480941c88c0a_infocdn.jpg
189728429,"Piso alto en torre de lujo, a estrenar, parrillero propio, garaje. Losa radiante",330000.0,2.0,2.0,94.0,94.0,Playa Mansa,0,0,2022.0,,False,1,https://www.infocasas.com.uy/piso-alto-en-torre-de-lujo-a-estrenar-parrillero-propio-garaje-losa-radiante/189728429,https://cdn1.infocasas.com.uy/repo/img/243_NYP-39118-TRA_84.jpg
190966467,Apartamento - Maldonado,500000.0,2.0,2.0,147.0,108.0,Playa Mansa,-34.9154409,-54.9789119,,,False,1,https://www.infocasas.com.uy/apartamento-maldonado/190966467,https://cdn1.infocasas.com.uy/web/661ee34b42a88_infocdn.jpg
188678691,1 - Walmer Lagoon  212,387500.0,2.0,2.0,130.0,85.0,Playa Mansa,-34.908625,-55.00564,,,False,1,https://www.infocasas.com.uy/1-walmer-lagoon-212/188678691,https://cdn1.infocasas.com.uy/web/648096a3dbc9e_infocdn.jpg
188489730,"Venta apartamento 2 dormitorios, sobre el Mar!",650000.0,2.0,2.0,140.0,100.0,Punta Ballena,-34.9069959,-55.0447869,,,False,1,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-sobre-el-mar/188489730,https://cdn1.infocasas.com.uy/web/6877596f9fdd5_infocdn.jpg
186121999,Departamento en venta y alquiler en Manantiales - LAP2137017,224000.0,2.0,2.0,74.0,74.0,Manantiales,-34.904313,-54.8265644,,,False,1,https://www.infocasas.com.uy/departamento-en-venta-y-alquiler-en-manantiales-lap2137017/186121999,https://cdn1.infocasas.com.uy/web/65a542181cc5f_infocdn.jpg
193718664,Apartamento en venta parada 33 de la mansa,490000.0,3.0,3.0,173.0,125.0,Maldonado,-34.91325164448857,-54.98974549679508,2026.0,,False,1,https://www.infocasas.com.uy/apartamento-en-venta-parada-33-de-la-mansa/193718664,https://cdn1.infocasas.com.uy/repo/img/175500891_89526_73.jpg
193697016,Manglar Albor - Ideal Inversión en Playa Brava,215000.0,1.0,1.0,47.0,57.0,Playa Brava,-34.950687942973204,-54.929940098858616,2026.0,,False,1,https://www.infocasas.com.uy/manglar-albor-ideal-inversion-en-playa-brava/193697016,https://cdn1.infocasas.com.uy/repo/img/176810136_GYC-470-TRA_427.jpg
193025763,Apartamento en venta en Aidy Grill,319000.0,2.0,2.0,80.0,63.0,Aidy Grill,-34.95277635580759,-54.936337711850356,2026.0,,False,1,https://www.infocasas.com.uy/apartamento-en-venta-en-aidy-grill/193025763,https://cdn1.infocasas.com.uy/repo/img/175500891_74216_822.jpg
291344,"Venta o alquiler anual, Departamento en Península",250000.0,2.0,2.0,85.0,85.0,Península,-32.522779,-55.765835,,,False,1,https://www.infocasas.com.uy/venta-o-alquiler-anual-departamento-en-peninsula/291344,https://cdn1.infocasas.com.uy/web/646889a4eabfc_infocdn.jpg
185936931,"Exclusivo Penthouse en Torre Aquarela, piscina de uso exclusivo con vista a Punta Ballena !",2800000.0,3.0,3.0,538.0,450.0,Playa Mansa,-34.9277614002,-54.9608146667,,,False,1,https://www.infocasas.com.uy/exclusivo-penthouse-en-torre-aquarela-piscina-de-uso-exclusivo-con-vista-a-punta-ballena-/185936931,https://cdn1.infocasas.com.uy/web/66221dd89c434_infocdn.jpg
192752044,Monoambiente en venta complejo Green Park,130000.0,0.0,1.0,40.0,40.0,Portezuelo,-34.87985817978563,-55.04830007751463,,,False,1,https://www.infocasas.com.uy/monoambiente-en-venta-complejo-green-park/192752044,https://cdn1.infocasas.com.uy/repo/img/261_GII-2999-TRA_624.jpg
187757622,Apartamento - Solanas,225000.0,0.0,1.0,40.0,40.0,Solanas,-34.8757275,-55.049169,,,False,1,https://www.infocasas.com.uy/apartamento-solanas/187757622,https://cdn1.infocasas.com.uy/web/610473a86b38b_infocdn.jpg#HASTH
